text,type,count-occurences-total,count-documents
19th,ORDINAL,1,1
International ACM SIGACCESS Conference on Computers and Accessibility - ASSETS ’,EVENT,1,1
300–304,CARDINAL,1,1
Aydin Baytas,PERSON,1,1
Damla Çay,GPE,1,1
Yuchong Zhang,PERSON,1,1
Mohammad Obaid,PERSON,4,1
Asim Evren Yantaç,PERSON,2,1
Morten Fjeld,PERSON,2,1
The Design of Social Drones,ORG,1,1
https://doi.org/10.1145/ 3290605.3300480,PERSON,1,1
Jane L. E,PERSON,1,1
ACM International Joint Conference on Pervasive and Ubiquitous Computing - UbiComp,EVENT,1,1
361–365,CARDINAL,1,1
Victoria Chang,PERSON,1,1
Pramod Chundury,PERSON,1,1
Marshini Chetty,PERSON,1,1
6765–6776,CARDINAL,1,1
KangPing Liu,PERSON,1,1
NengHao Yu,PERSON,1,1
SIGGRAPH Asia 2015 Posters on - SA,LOC,1,1
Ilene L. E,PERSON,1,1
Jessica R. Cauchard,PERSON,1,1
Wo,PERSON,1,1
6794–6799,DATE,1,1
Markus,PERSON,1,1
Humandrone,ORG,3,2
4 2018,DATE,1,1
Ilhan Bae,PERSON,1,1
Social Proxemics of,ORG,1,1
ACM/IEEE International Conference on HumanRobot Interaction - HRI,ORG,1,1
376–376,CARDINAL,1,1
YuRen Chen,PERSON,1,1
LingJyh Chen,PERSON,1,1
Krypto,PERSON,1,1
3–8,CARDINAL,1,1
Walther Jensen,PERSON,1,1
Simon Hansen,PERSON,1,1
Hendrik Knoche,PERSON,1,1
1–12,DATE,1,1
10.1145/3173574.3173939,WORK_OF_ART,1,1
Brennan Jones,PERSON,1,1
Kody Dillman,PERSON,1,1
Richard Tang,PERSON,1,1
Anthony Tang,PERSON,1,1
Ehud Sharlin,PERSON,1,1
Lora Oehlberg,PERSON,1,1
Carman Neustaedter,PERSON,1,1
Scott Bateman,PERSON,1,1
Elevating Communication,ORG,1,1
Shared Experiences,ORG,1,1
Mobile Video,ORG,1,1
1123–1135,DATE,1,1
Daniel Karjalainen,PERSON,1,1
Anna Elisabeth Sofia Romell,PERSON,1,1
Photchara Ratsamee,PERSON,2,1
Asim Evren Yantac,PERSON,1,1
Fjeld,PERSON,2,1
Social Drone Companion for the Home Environment,ORG,1,1
5th,ORDINAL,5,3
89–96,DATE,1,1
Bomyeong Kim,PERSON,2,1
Hyun Young Kim,PERSON,1,1
Jinwoo Kim,PERSON,2,1
ACM International Joint Conference on Pervasive and Ubiquitous Computing Adjunct - UbiComp,EVENT,1,1
117–120,CARDINAL,1,1
Kim,PERSON,6,4
The Naughty Drone,ORG,1,1
10th,ORDINAL,2,2
International Conference on Ubiquitous Information Management and Communication - IMCOM,EVENT,1,1
1–6,DATE,2,2
Felix Kistler,PERSON,1,1
Gabriele,ORG,1,1
20th,ORDINAL,1,1
International Academic Mindtrek Conference,EVENT,1,1
113–121,CARDINAL,1,1
Tolga Ozaslan,PERSON,1,1
Giuseppe Loianno,PERSON,1,1
James Keller,PERSON,1,1
Camillo J. Taylor,PERSON,1,1
Vijay Kumar,PERSON,2,1
Jennifer M. Wozencraft,PERSON,1,1
Thomas Hood,PERSON,1,1
7 2017,DATE,1,1
1740–1747,CARDINAL,1,1
2699790,CARDINAL,1,1
Tolga Özaslan,ORG,1,1
Shaojie Shen,PERSON,1,1
Yash Mulgaonkar,PERSON,1,1
Nathan Michael,PERSON,1,1
Inspection of Penstocks and Featureless Tunnellike Environments Using Micro,ORG,1,1
Cham,GPE,12,4
123–136,CARDINAL,1,1
https://doi.org/10.1007/ 978-3-319-07488-7{_}9,PERSON,1,1
Chathura Suduwella,PERSON,1,1
Akarshani Amarasinghe,PERSON,1,1
Lasith Niroshan,PERSON,1,1
Charith Elvitigala,PERSON,1,1
Kasun De Zoysa,PERSON,1,1
Chamath Keppetiyagama,PERSON,1,1
Mosquito Breeding Sites,ORG,1,1
Drone Images,ORG,1,1
"Micro Aerial Vehicle Networks, Systems",ORG,1,1
Applications - DroNet,ORG,1,1
27–30,CARDINAL,1,1
Daniel Szafir,PERSON,1,1
Bilge Mutlu,PERSON,1,1
Terrence Fong,PERSON,1,1
Humanrobot,GPE,1,1
358–365,CARDINAL,2,2
Are Autonomous Robots,ORG,1,1
Yaxing Yao,PERSON,2,1
Huichuan Xia,PERSON,2,1
Yun Huang,PERSON,2,1
Yang Wang,PERSON,2,1
Fly in Public Spaces,ORG,1,1
6789–6793,CARDINAL,1,1
6777–6788,DATE,1,1
Alexander Yeh,PERSON,1,1
Kiyoshi Kiyokawa,PERSON,1,1
Yuki Uranishi,PERSON,1,1
Tomohiro Mashita,PERSON,1,1
Haruo Takemura,PERSON,1,1
Exploring Proxemics for,ORG,1,1
"Olga Burukina1,2",PERSON,1,1
"Inna Khavanova2,3",PERSON,1,1
The University of Vaasa,ORG,1,1
Wolfﬁntie,ORG,1,1
65200,CARDINAL,1,1
Vaasa,GPE,1,1
Finland,GPE,2,2
The Institute of Legislation and Comparative Law,ORG,1,1
B. Cheremushkinskaya Street,FAC,1,1
"34, 117218",DATE,1,1
Moscow,GPE,3,2
Russia,GPE,7,1
The Financial University,ORG,1,1
"49, 125993",DATE,1,1
today,DATE,4,2
Overton,GPE,2,1
 International,ORG,1,1
years ago,DATE,1,1
Today,DATE,3,2
28 July 2018,DATE,1,1
"more than 3,000",CARDINAL,1,1
Drone Racing League,ORG,1,1
BMW Welt,ORG,2,1
Racing League,ORG,1,1
every Thursday,DATE,1,1
13 September 2018,DATE,1,1
midDecember,DATE,1,1
2020,CARDINAL,3,3
J. Chen,PERSON,3,3
Ed,PERSON,1,1
962,CARDINAL,1,1
217–229,CARDINAL,1,1
2 Rise,CARDINAL,1,1
2025,DATE,4,2
"100,000",CARDINAL,1,1
$82 billion,MONEY,1,1
Business Insider,ORG,1,1
19%,PERCENT,2,1
between 2015 and 2020,DATE,1,1
5%,PERCENT,4,3
Amazon,ORG,11,4
Flytrex,ORG,1,1
UPS,ORG,1,1
DHL,ORG,3,2
Dubai,GPE,1,1
Volocopter,ORG,1,1
$127 billion,MONEY,2,2
45.2,MONEY,1,1
32.4,MONEY,1,1
13,MONEY,1,1
2.2 Warfare,PERCENT,1,1
218,CARDINAL,8,3
O. Burukina,PERSON,6,1
I. Khavanova,ORG,3,1
the Pandora’s Box,LOC,1,1
the Russian Federation,GPE,4,1
The US Department of Defense in Unmanned Systems Integrated Roadmap FY2017-2042,ORG,1,1
219,CARDINAL,9,4
the United States,GPE,9,2
Russian,NORP,17,1
American,NORP,7,2
Hypotheses,PERSON,1,1
Hypothesis 1,PRODUCT,1,1
under 25,DATE,2,1
220,CARDINAL,7,4
"I. Khavanova 
Challenge 2 – Economic",ORG,1,1
Research Method,ORG,1,1
221,CARDINAL,6,3
Lipetsk State Pedagogical University,ORG,1,1
70 third,CARDINAL,1,1
Bachelor,ORG,1,1
57,CARDINAL,23,8
71,CARDINAL,11,5
20%,PERCENT,3,3
Research Results,PERSON,1,1
Analysis of the Responses,WORK_OF_ART,1,1
25 years of age,DATE,1,1
about 5 years,DATE,1,1
38 years,DATE,1,1
up to 57 years of age,DATE,1,1
222,CARDINAL,7,3
29%,PERCENT,2,2
8%,PERCENT,8,2
6%,PERCENT,3,3
52%,PERCENT,2,2
223,CARDINAL,8,3
3%,PERCENT,3,3
only 1%,PERCENT,1,1
4%,PERCENT,5,2
32%,PERCENT,3,2
only 14%,PERCENT,1,1
224,CARDINAL,7,3
I. Khavanova,PERSON,1,1
15%,PERCENT,3,3
only 9%,PERCENT,1,1
12%,PERCENT,5,2
0%,PERCENT,1,1
28%,PERCENT,1,1
42%,PERCENT,1,1
Dis/Approval,ORG,2,1
225,CARDINAL,9,4
tomorrow,DATE,1,1
national armed forces,ORG,1,1
the Armed Forces of the Russian Federation,ORG,1,1
18%,PERCENT,2,2
65%,PERCENT,2,2
40%,PERCENT,3,2
7%,PERCENT,1,1
FSS,ORG,1,1
CIA,ORG,1,1
FBI,ORG,1,1
34%,PERCENT,1,1
51%,PERCENT,2,2
24%,PERCENT,1,1
226,CARDINAL,5,3
"I. Khavanova 
Human–Drone Interaction",ORG,1,1
WTO,ORG,1,1
ITC,ORG,1,1
WHO,ORG,1,1
AITIC,ORG,1,1
FAO,ORG,1,1
80,CARDINAL,14,6
228,CARDINAL,6,3
IHRL,PERSON,1,1
IHL,ORG,1,1
"More than 3,000",CARDINAL,1,1
BMW Group,ORG,1,1
Global Report,ORG,2,2
The Law Library,PERSON,1,1
Congress,ORG,3,2
Global Legal Research Center,ORG,1,1
2018 4,DATE,1,1
Qureshi,GPE,1,1
A.W.,GPE,2,2
Notre Dame J. Int,PERSON,1,1
Article 5 (2017,LAW,1,1
Karyakin,PERSON,1,1
V.V.,PERSON,1,1
Prob,PERSON,2,2
Strat,ORG,1,1
3(30,CARDINAL,1,1
Russian,LANGUAGE,1,1
25.12.2014,DATE,1,1
Pr-2976,WORK_OF_ART,1,1
Unmanned Systems Integrated Roadmap FY2017-2042,ORG,1,1
Armitage,GPE,1,1
229,CARDINAL,6,3
Article Improved Compact Cuckoo Search,ORG,1,1
Location of Drone Logistics Hub,ORG,1,1
JengShyang Pan,PERSON,1,1
PeiCheng Song,PERSON,1,1
ShuChuan Chu *,PERSON,1,1
"YanJun Peng 
College of Computer Science and Engineering",PERSON,1,1
Shandong University of Science and Technology,ORG,1,1
266590,DATE,1,1
jspan@cc.kuas.edu.tw,PERSON,1,1
J.-S.P.,PERSON,6,1
P.-C.S.,GPE,5,1
31 January 2020,DATE,1,1
27 February 2020,DATE,1,1
3 March 2020,DATE,1,1
The Cuckoo Search,ORG,1,1
Levy,PERSON,2,1
"6,7",CARDINAL,1,1
Modiﬁed Cuckoo Search,ORG,1,1
BCS,ORG,1,1
Chaotic Cuckoo Search,ORG,1,1
Mathematics 2020,EVENT,1,1
333,CARDINAL,3,2
math8030333,PERSON,1,1
the last mile,QUANTITY,1,1
Bayesian,NORP,3,2
"35,36",CARDINAL,1,1
Hu et al,PERSON,2,2
"Metaheuristics Algorithm of Cuckoo 
The CS",WORK_OF_ART,1,1
Lévy,PERSON,9,1
x(t+1,GPE,2,1
x(t,PERSON,5,1
St ⊗ H,PERSON,1,1
− x(t,PERSON,1,1
x(t+1,ORG,1,1
St,PERSON,1,1
Heaviside,ORG,1,1
Algorithm 1,FAC,3,3
39–41,CARDINAL,1,1
Algorithm 1:,FAC,1,1
Generate,PERSON,3,1
Calculate,ORG,2,2
Keep,PERSON,2,1
Location Model,PERSON,1,1
𝐿1,PRODUCT,1,1
𝐿2,CARDINAL,1,1
L1,CARDINAL,3,1
L2,CARDINAL,3,2
− Ri,PERSON,1,1
EDA,ORG,1,1
Firstly,ORDINAL,6,4
Perturbation Vector,ORG,1,1
PV,FAC,9,1
PV,ORG,4,1
σt,PERSON,1,1
PDF,ORG,1,1
−1,WORK_OF_ART,1,1
winneri,EVENT,1,1
Np,ORG,1,1
− ,WORK_OF_ART,1,1
initialization//,ORG,1,1
1;//Switch,CARDINAL,1,1
Generate x1,PERSON,1,1
x1,ORG,1,1
compete(x1,CARDINAL,1,1
newx1,ORG,1,1
newx2,GPE,1,1
Update,ORG,11,2
randn(1,PERSON,1,1
Equations,PERSON,1,1
ﬁne,ORG,1,1
"𝑆𝑡𝑎𝑟𝑡 
𝐺𝑒𝑛𝑒𝑟𝑎𝑡𝑒 x1",ORG,1,1
𝑃𝑉,ORG,1,1
𝑈𝑝𝑑𝑎𝑡𝑒,PERSON,4,1
𝐷𝑖𝑠𝑡𝑢𝑟𝑏,PERSON,1,1
𝑆𝑡𝑢𝑐𝑘,ORG,1,1
"𝐸𝑛𝑑 
𝑆𝑡𝑜𝑟𝑒 𝑘𝑒𝑦 𝑠𝑜𝑙𝑢𝑡𝑖𝑜𝑛𝑠",PERSON,1,1
𝐼𝑛𝑖𝑡𝑖𝑎𝑙𝑖𝑧𝑎𝑡𝑖𝑜𝑛,ORG,1,1
𝑖 < 𝑀𝑎𝑥𝐺𝑒𝑛,ORG,1,1
𝐹𝐿 =,ORG,1,1
𝐺𝑒𝑛𝑒𝑟𝑎𝑡𝑒,PERSON,1,1
𝐹𝐿,PERSON,1,1
𝐿é𝑣𝑦,PERSON,1,1
𝑅𝑒𝑠𝑒𝑡,ORG,1,1
CEC’17,PRODUCT,1,1
min f (x),PERSON,1,1
x3,GPE,1,1
xD]T,PERSON,1,1
100]D.,DATE,1,1
CEC’17,FAC,1,1
3000,CARDINAL,17,3
Table 1,PRODUCT,2,2
"Algorithm Main Parameters Setting 
CS Population_number",WORK_OF_ART,1,1
0.25,CARDINAL,7,3
0.9,CARDINAL,4,3
0.4,CARDINAL,5,3
0.2,CARDINAL,5,3
Fmax,ORG,1,1
0.8,CARDINAL,5,3
Optimization Algorithms,PERSON,1,1
the Adaptive Cuckoo Search Algorithm,ORG,1,1
DE,PERSON,2,1
SCA,ORG,4,1
30D,CARDINAL,6,1
ACS,ORG,6,1
PSO,ORG,2,1
CS ACS PSO DE SCA,ORG,2,1
1.20377 ×,PERCENT,1,1
1.00000 × 1010,DATE,1,1
103,CARDINAL,152,4
3.18520 ×,PERCENT,1,1
3.05501,CARDINAL,1,1
4.62444,CARDINAL,1,1
6.76672 ×,PERCENT,1,1
6.36546,CARDINAL,1,1
9.50101,CARDINAL,1,1
9.42849,CARDINAL,1,1
1.07358,CARDINAL,1,1
5.07394,CARDINAL,1,1
9.30145 ×,PERCENT,1,1
9.00000,CARDINAL,1,1
4.82195,CARDINAL,1,1
4.99931 ×,PERCENT,1,1
5.12150,CARDINAL,1,1
8.60907 ×,PERCENT,1,1
1.22792,CARDINAL,1,1
2.57068,CARDINAL,1,1
4.56905,CARDINAL,1,1
9.00368,CARDINAL,1,1
6.21396,CARDINAL,1,1
106,CARDINAL,34,5
1.61706,CARDINAL,1,1
1.81192,CARDINAL,1,1
1.00001,CARDINAL,2,1
1.80866,CARDINAL,1,1
1.48212,CARDINAL,1,1
1.47295 ×,PERCENT,1,1
1.48013,CARDINAL,1,1
9.25870 ×,ORG,1,1
1.62982,CARDINAL,1,1
1.61110,CARDINAL,1,1
2.60602,CARDINAL,1,1
2.69191,CARDINAL,1,1
2.22859 ×,PERCENT,1,1
2.45510,CARDINAL,1,1
3.82109,CARDINAL,1,1
2.04739,CARDINAL,1,1
2.07413 ×,PERCENT,1,1
2.01007 ×,PERCENT,1,1
2.59000,CARDINAL,1,1
7.44420,CARDINAL,1,1
7.67991 ×,PERCENT,1,1
8.73722 ×,PERCENT,1,1
9.36373 × 105,PRODUCT,1,1
1.94031,CARDINAL,1,1
1.95316 ×,PERCENT,1,1
1.29213,CARDINAL,1,1
107,CARDINAL,11,4
2.39270,CARDINAL,1,1
2.43996 ×,PERCENT,1,1
2.45306 ×,PERCENT,1,1
2.23193,CARDINAL,1,1
2.20637 ×,PERCENT,1,1
2.84076,CARDINAL,1,1
2.44515,CARDINAL,1,1
2.44476,CARDINAL,1,1
2.41188 ×,PERCENT,1,1
2.36641,CARDINAL,1,1
2.57886,CARDINAL,1,1
3.59559,CARDINAL,1,1
4.00541,DATE,1,1
5.18629,CARDINAL,1,1
9.64492,CARDINAL,1,1
2.81251 ×,PERCENT,1,1
2.82287,CARDINAL,1,1
2.77342,CARDINAL,1,1
2.72533,CARDINAL,1,1
2.78211,CARDINAL,1,1
3.05061,CARDINAL,1,1
2.95136,CARDINAL,1,1
2.99155,CARDINAL,1,1
2.92443 ×,PERCENT,1,1
3.21214,CARDINAL,1,1
2.88699 ×,PERCENT,1,1
2.88668 ×,PERCENT,1,1
2.88775 ×,PERCENT,1,1
2.90573,CARDINAL,1,1
2.88754 ×,PERCENT,1,1
3.27954,CARDINAL,1,1
4.10369,CARDINAL,1,1
4.71619,CARDINAL,1,1
3.80533,CARDINAL,1,1
4.42989 ×,PERCENT,1,1
7.52475,CARDINAL,1,1
3.22191,CARDINAL,1,1
3.22089 ×,PERCENT,1,1
3.25043,CARDINAL,1,1
3.21313 ×,PERCENT,1,1
3.46664,CARDINAL,1,1
3.18150,CARDINAL,1,1
3.17620,CARDINAL,1,1
3.16887,CARDINAL,1,1
3.27739,CARDINAL,1,1
3.23058 ×,PERCENT,1,1
4.11323,CARDINAL,1,1
3.82243,CARDINAL,1,1
3.93256,CARDINAL,1,1
3.65520 ×,PERCENT,1,1
3.71836,CARDINAL,1,1
4.93266,CARDINAL,1,1
16 28,CARDINAL,1,1
Tables 2,ORG,1,1
0.05,CARDINAL,17,4
Wilcoxon,ORG,7,1
Table 2,ORG,1,1
f9,ORG,1,1
Fitness Functions,ORG,1,1
1.58954,CARDINAL,1,1
0.00000,CARDINAL,1,1
6.14926 ×,PERCENT,1,1
2.84671,CARDINAL,1,1
1.02413 ×,PERCENT,1,1
6.59109,CARDINAL,1,1
104,DATE,2,1
7.88398 ×,PERCENT,1,1
8.30263 ×,PERCENT,1,1
8.19113 ×,PERCENT,1,1
3.50377,CARDINAL,1,1
101,CARDINAL,11,3
7.49639,CARDINAL,1,1
4.73629,CARDINAL,1,1
1.82381,CARDINAL,1,1
2.20047,CARDINAL,1,1
9.36649,CARDINAL,1,1
9.54795,CARDINAL,1,1
2.40221 ×,PERCENT,1,1
9.31378,CARDINAL,1,1
4.77247,MONEY,1,1
1.30530 × 101,PERCENT,1,1
6.83978 ×,PRODUCT,1,1
4.32832,CARDINAL,1,1
4.81329,CARDINAL,1,1
2.98190,CARDINAL,1,1
1.33903,CARDINAL,1,1
1.93099,CARDINAL,1,1
2.07230,CARDINAL,1,1
2.30497,CARDINAL,1,1
1.31639,CARDINAL,1,1
2.49578 ×,PERCENT,1,1
1.23386 ×,PERCENT,1,1
4.95811 ×,FAC,1,1
1.51949,CARDINAL,1,1
4.30482 ×,PERCENT,1,1
1.45196,ORG,1,1
1.62505,CARDINAL,1,1
3.21566,CARDINAL,1,1
3.19376 × 101 6.68227 × 101,PERCENT,1,1
2.36883,MONEY,1,1
1.44805×,CARDINAL,1,1
5.16379 ×,PERCENT,1,1
109,CARDINAL,9,4
3.15063,CARDINAL,1,1
5.45313 ×,PERCENT,1,1
4.08268,CARDINAL,1,1
1.64281,CARDINAL,1,1
3.16227,CARDINAL,1,1
1.72784,CARDINAL,1,1
1.48525,CARDINAL,1,1
1.72076,CARDINAL,1,1
1.67867,CARDINAL,1,1
4.30874 ×,PERCENT,1,1
3.23631 ×,PRODUCT,1,1
1.75888,CARDINAL,1,1
1.62357,CARDINAL,1,1
1.07398,CARDINAL,1,1
1.80726,CARDINAL,1,1
2.57856,CARDINAL,1,1
2.16380 ×,PERCENT,1,1
3.99360 ×,PERCENT,1,1
2.08530,CARDINAL,1,1
3.00827,CARDINAL,1,1
8.58002,CARDINAL,1,1
1.24844 ×,PERCENT,1,1
1.37076,CARDINAL,1,1
8.55912 ×,PERCENT,1,1
1.05365,CARDINAL,1,1
3.40883,CARDINAL,1,1
1.55532,CARDINAL,1,1
8.60537,TIME,1,1
1.78525,CARDINAL,1,1
2.09828 ×,PERCENT,1,1
2.20659,CARDINAL,1,1
2.10756,CARDINAL,1,1
2.64497,CARDINAL,1,1
2.29411,CARDINAL,1,1
5.89906,CARDINAL,1,1
3.75856,CARDINAL,1,1
2.80960 ×,PRODUCT,1,1
2.37389,CARDINAL,1,1
3.11146 ×,PRODUCT,1,1
5.34084,CARDINAL,1,1
1.91721,CARDINAL,1,1
2.94028 ×,PRODUCT,1,1
2.37271 ×,PRODUCT,1,1
4.98180 × 101,PRODUCT,1,1
2.06219 1.49136,MONEY,1,1
3.47109,CARDINAL,1,1
3.44086,CARDINAL,1,1
1.39171,CARDINAL,1,1
1.88883,CARDINAL,1,1
1.21796,CARDINAL,1,1
1.50593,CARDINAL,1,1
6.43974,CARDINAL,1,1
3.20524,DATE,1,1
4.21625,CARDINAL,1,1
2.53171 ×,PRODUCT,1,1
1.61220,CARDINAL,1,1
Functions CS ACS PSO DE SCA,PERSON,1,1
6.386445,CARDINAL,1,1
2.413216,CARDINAL,1,1
2.827272 ×,CARDINAL,1,1
1.826718 ×,FAC,15,1
3.074895,CARDINAL,1,1
4.726756,CARDINAL,2,1
1.314945,CARDINAL,1,1
4.273553 ×,PERCENT,3,1
7.685389,CARDINAL,1,1
3.120901,CARDINAL,1,1
10−2,CARDINAL,3,1
1.858767 ×,PERCENT,1,1
7.913368,CARDINAL,4,1
10−1,DATE,14,1
1.826718,MONEY,2,1
9.097219,CARDINAL,2,1
6.402210,CARDINAL,1,1
2.461281,CARDINAL,4,1
5.205229,CARDINAL,3,1
5.828399,CARDINAL,2,1
7.566157 ×,PERCENT,2,1
3.846731 ×,PRODUCT,1,1
7.337300 ×,PERCENT,2,1
8.501067 ×,PERCENT,1,1
1.858767,CARDINAL,2,1
6.519225,CARDINAL,1,1
1.826718,CARDINAL,1,1
7.566157,CARDINAL,1,1
9.698500 ×,PERCENT,2,1
2.122938,CARDINAL,2,1
6.231762,CARDINAL,1,1
3.447042,CARDINAL,3,1
1.725746,CARDINAL,2,1
1.619724 ×,PERCENT,1,1
6.775850 ×,PERCENT,2,1
9.097219 ×,PRODUCT,1,1
1.401928 ×,PRODUCT,1,1
9.698500,CARDINAL,3,1
9.108496 ×,PRODUCT,2,1
2.730363,CARDINAL,1,1
4.586392 ×,PERCENT,1,1
2.113393,CARDINAL,1,1
1.041099 ×,PERCENT,1,1
3.763531,CARDINAL,1,1
3.846731,CARDINAL,1,1
3.298385 ×,PRODUCT,2,1
1.706249,CARDINAL,1,1
2.574808,CARDINAL,1,1
1.212245 ×,PERCENT,1,1
4.726756 ×,PRODUCT,1,1
5.707504 ×,PERCENT,1,1
4.515457,CARDINAL,1,1
2.413216,PRODUCT,1,1
pcCS,PERSON,1,1
Particle Swarm Optimization,ORG,1,1
51,CARDINAL,28,8
10D,DATE,2,1
Tables 5 and,ORG,1,1
Table 5,LAW,3,3
30D,DATE,1,1
10D,CARDINAL,3,1
Table 5,FAC,1,1
Mean Wilcoxon’s,PERSON,2,1
1.000,CARDINAL,1,1
9.504 × 1010,DATE,1,1
1.050 × 1011,DATE,1,1
2.022 × 1010,DATE,1,1
1.391,DATE,1,1
10−20,DATE,2,1
7.188,CARDINAL,1,1
3.000,CARDINAL,1,1
3.178,CARDINAL,1,1
1011,DATE,1,1
× 104,LOC,1,1
1.391 ×,PERCENT,1,1
10−20 1.056,DATE,1,1
4.000,CARDINAL,1,1
3.303,CARDINAL,2,1
2.241,CARDINAL,1,1
5.120 ×,PERCENT,1,1
8.476,CARDINAL,1,1
3.304,CARDINAL,74,1
10−18,DATE,23,1
2.242,CARDINAL,6,1
10−18,CARDINAL,16,1
6.000,CARDINAL,1,1
1.865,CARDINAL,7,1
7.259,CARDINAL,1,1
2.056 × 103 8.431 ×,PERCENT,1,1
2.849,CARDINAL,1,1
8.127 ×,PERCENT,1,1
1.075,CARDINAL,1,1
8.868 × 102 3.304 ×,PERCENT,1,1
9.004,CARDINAL,1,1
2.120,CARDINAL,3,1
1.864,CARDINAL,2,1
1.566,CARDINAL,1,1
4.221 ×,PERCENT,1,1
5.109,CARDINAL,1,1
3.244,CARDINAL,2,1
1.391,CARDINAL,3,1
1.102,CARDINAL,1,1
7.657,CARDINAL,1,1
10−18 2.471,DATE,6,1
1.271 ×,PERCENT,1,1
8.830,CARDINAL,1,1
1.324 × 1010,DATE,1,1
2.340,CARDINAL,1,1
2.576,CARDINAL,1,1
1.307 ×,PERCENT,1,1
5.387,CARDINAL,1,1
1.077,CARDINAL,1,1
1010,DATE,5,1
3.576 ×,PERCENT,1,1
1.403,CARDINAL,1,1
4.188,CARDINAL,1,1
2.2266 ×,PRODUCT,1,1
4.0336 × 108,PERCENT,1,1
10−20,CARDINAL,2,1
1.501,CARDINAL,1,1
4.065,CARDINAL,1,1
3.248 × 109,PERCENT,1,1
5.095,CARDINAL,1,1
2.675,CARDINAL,3,1
1.610,CARDINAL,1,1
5.251,CARDINAL,1,1
1.548,CARDINAL,1,1
2.653 × 103 3.304 ×,PERCENT,1,1
1.720 ×,PERCENT,1,1
2.948 ×,PERCENT,1,1
1.1726,CARDINAL,1,1
1.342,CARDINAL,2,1
1.801 ×,PERCENT,1,1
1.312 × 1010,DATE,1,1
3.418,DATE,1,1
1.901,CARDINAL,1,1
3.457,CARDINAL,1,1
1.505,CARDINAL,1,1
3.4326 ×,PRODUCT,1,1
108,CARDINAL,29,4
1.734,CARDINAL,2,1
2.006 ×,PERCENT,1,1
2.690 × 103 3.224 ×,PERCENT,1,1
2.668 × 103 3.304 × 10−18,PERCENT,1,1
1.093,CARDINAL,1,1
2.239,CARDINAL,1,1
2.564,CARDINAL,1,1
2.549,CARDINAL,1,1
2.671 × 103,PERCENT,1,1
3.282,CARDINAL,1,1
2.409,CARDINAL,1,1
1.378,CARDINAL,1,1
2.293,CARDINAL,1,1
5.081,CARDINAL,1,1
5.468 ×,PERCENT,1,1
4.262 ×,PERCENT,1,1
1.602,CARDINAL,2,1
2.614,CARDINAL,1,1
3.286,CARDINAL,1,1
4.524 ×,PERCENT,1,1
3.452 ×,PERCENT,1,1
2.648,CARDINAL,1,1
3.220,CARDINAL,1,1
3.356 × 103 3.058 ×,PERCENT,1,1
4.840,CARDINAL,1,1
3.789,CARDINAL,1,1
2.881,CARDINAL,1,1
×,LOC,2,1
2.478,CARDINAL,1,1
3.160,CARDINAL,2,1
2.463,CARDINAL,1,1
× 10−18,LOC,3,1
2.838,CARDINAL,1,1
7.302 ×,PERCENT,1,1
7.289,CARDINAL,1,1
5.083,CARDINAL,1,1
2.330,CARDINAL,1,1
2.636,CARDINAL,1,1
3.089,CARDINAL,1,1
1.051,CARDINAL,2,2
3.949 × 103 3.293 × 10−18,PERCENT,1,1
4.4716,CARDINAL,1,1
3.109,CARDINAL,1,1
3.714,CARDINAL,1,1
3.423,CARDINAL,1,1
4.172 × 103 2.602 ×,PERCENT,1,1
3.203,CARDINAL,1,1
1.018,CARDINAL,1,1
3.171,CARDINAL,1,1
7.190,CARDINAL,1,1
7.6356,CARDINAL,1,1
7.919,CARDINAL,1,1
1.293,CARDINAL,1,1
3.107,CARDINAL,1,1
1.374 ×,PERCENT,1,1
1016,DATE,12,3
3.298,CARDINAL,1,1
4.608,CARDINAL,1,1
1.302,CARDINAL,1,1
2.740,CARDINAL,1,1
6.719 ×,PERCENT,1,1
2.082 ×,PERCENT,1,1
1.021 ×,PERCENT,1,1
1.472,CARDINAL,2,1
6.432,CARDINAL,1,1
9.618,CARDINAL,1,1
9.068,CARDINAL,1,1
7.007 ×,PERCENT,1,1
1.495,CARDINAL,1,1
9.354,CARDINAL,1,1
× 103,DATE,1,1
1.908,CARDINAL,1,1
1.222 ×,PERCENT,1,1
5.221,CARDINAL,1,1
2.989,CARDINAL,1,1
1.312 × 105,PERCENT,1,1
8.947,CARDINAL,1,1
4.784,CARDINAL,1,1
6.173,CARDINAL,1,1
9.609 × 103 6.339 ×,PERCENT,1,1
10−15,DATE,1,1
3.105,CARDINAL,1,1
1.224,CARDINAL,1,1
6.970,CARDINAL,1,1
2.933 × 1011,DATE,1,1
2.072,CARDINAL,1,1
9.720,CARDINAL,1,1
8.191 × 1010,DATE,1,1
2.227 × 1010,DATE,1,1
1.844 ×,PERCENT,1,1
3.858,CARDINAL,1,1
6.393 × 1010,DATE,1,1
1.481 ×,PERCENT,1,1
3.739,CARDINAL,1,1
1.643 × 1010,DATE,1,1
1.273 ×,PERCENT,1,1
9.752,CARDINAL,1,1
1.612,CARDINAL,1,1
7.039,CARDINAL,1,1
2.607 × 103,PERCENT,1,1
1.840,CARDINAL,1,1
3.616,CARDINAL,1,1
1.264,CARDINAL,1,1
2.041,CARDINAL,1,1
5.641,CARDINAL,1,1
5.782,CARDINAL,1,1
8.327,CARDINAL,1,1
1.101 × 1010,DATE,1,1
2.532 × 1010,DATE,1,1
